1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.673050	0.000000	20.507368	0.002631	85.8
1	-0.723414	0.000000	20.507368	0.014306	0.7
2	-0.707471	0.000000	20.507368	0.011472	0.7
3	-0.712249	0.000000	20.507368	0.004952	0.7
4	-0.724860	0.999999	19.575216	0.011388	0.7
5	-0.687839	1.999999	18.724120	0.012842	0.5
6	-0.696446	2.999997	17.943949	0.008563	0.5
7	-0.694405	2.216209	18.549744	0.009588	0.5
8	-0.681275	3.077675	17.886060	0.006777	0.5
9	-0.696487	2.293895	18.487880	0.008453	0.5
10	-0.699359	1.510119	19.131606	0.008544	0.5
11	-0.716453	2.475941	18.344514	0.007043	0.5
12	-0.714733	3.474201	17.596273	0.007535	0.7
13	-0.696257	4.439256	16.928747	0.009194	0.7
14	-0.713124	3.663831	17.460983	0.012341	0.7
15	-0.710914	4.663831	16.780610	0.012723	0.7
16	-0.713289	5.641771	16.164643	0.005578	0.7
17	-0.700107	6.641567	15.579968	0.008332	0.7
18	-0.699241	7.601579	15.057026	0.011295	0.7
19	-0.687004	6.817876	15.481223	0.007442	0.7
20	-0.715233	6.035333	15.929330	0.012693	0.7
21	-0.690956	5.251573	16.404912	0.004901	0.7
22	-0.712365	6.244489	15.807040	0.007269	0.7
23	-0.684666	7.244106	15.247597	0.010462	0.7
24	-0.726363	6.460353	15.682782	0.008720	0.7
25	-0.714124	5.680151	16.141390	0.007102	0.7
26	-0.703432	4.896372	16.629926	0.015110	0.7
27	-0.712903	5.896372	16.011630	0.012539	0.7
28	-0.724336	6.896372	15.437661	0.004869	0.7
29	-0.715376	6.112926	15.883742	0.008356	0.7
30	-0.709072	5.329984	16.356058	0.013563	0.7
31	-0.710174	6.329039	15.758137	0.004857	0.7
32	-0.710910	5.545250	16.223420	0.004378	0.5
33	-0.689578	6.500813	15.659709	0.005893	0.5
34	-0.700482	6.231057	15.814837	0.007015	0.5
35	-0.686629	5.453669	16.279585	0.007846	0.5
36	-0.692520	4.669907	16.776638	0.011467	0.5
37	-0.729278	5.669907	16.147590	0.011345	0.5
38	-0.713984	4.886122	16.636510	0.011067	0.5
39	-0.693089	4.102334	17.155964	0.007337	0.5
40	-0.699324	3.405113	17.646086	0.006033	0.5
41	-0.686771	2.628693	18.225923	0.005441	0.5
42	-0.700928	2.284455	18.495375	0.009149	0.5
43	-0.693234	3.280215	17.736858	0.004458	0.5
44	-0.703179	3.145788	17.835605	0.012419	0.5
45	-0.693300	4.125133	17.140396	0.009604	0.5
46	-0.705495	5.125133	16.484308	0.012806	0.5
47	-0.724754	6.124302	15.877081	0.011210	0.5
48	-0.712870	7.124302	15.312548	0.010646	0.5
49	-0.677698	6.880807	15.446279	0.007516	0.5
50	-0.688509	6.097020	15.893066	0.010340	0.5
51	-0.726987	5.424945	16.297280	0.012490	0.5
52	-0.724804	6.424944	15.703030	0.007886	0.5
53	-0.701648	7.386910	15.170892	0.008641	0.5
54	-0.679938	6.603123	15.601667	0.006714	0.5
55	-0.689903	7.603123	15.056214	0.011247	0.5
56	-0.711348	6.848092	15.464425	0.011215	0.5
57	-0.730695	6.064304	15.912278	0.012719	0.5
58	-0.700223	5.683517	16.139354	0.005310	0.5
59	-0.716676	6.682302	15.557042	0.010728	0.5
60	-0.673860	5.898514	16.010354	0.003213	0.5
61	-0.703519	5.655132	16.156541	0.005304	0.5
62	-0.708676	5.123560	16.485300	0.009528	0.5
63	-0.733358	4.339773	16.995209	0.010722	0.5
64	-0.701992	5.339773	16.349979	0.005507	0.5
65	-0.721341	5.136148	16.477361	0.009916	0.5
66	-0.715383	6.136148	15.870150	0.008794	0.5
67	-0.725289	7.000683	15.380151	0.012673	0.5
68	-0.709037	8.000683	14.849813	0.011875	0.5
69	-0.690588	7.219523	15.260879	0.014004	0.5
70	-0.694577	8.219523	14.738596	0.014203	0.5
71	-0.709145	9.219523	14.250878	0.007532	0.5
72	-0.702433	8.435806	14.630302	0.005549	0.5
73	-0.715117	9.407876	14.162605	0.010888	0.5
74	-0.713337	8.660606	14.519418	0.008117	0.5
75	-0.688776	7.877783	14.913012	0.004281	0.5
76	-0.693982	8.876316	14.414586	0.007669	0.5
77	-0.708212	9.108412	14.303469	0.006356	0.9
78	-0.725619	10.105654	13.844902	0.011627	0.5
79	-0.668280	9.383946	14.173759	0.007258	0.5
80	-0.703168	10.383945	13.722135	0.007410	0.5
81	-0.708342	9.600165	14.073608	0.011193	0.5
82	-0.696142	10.599868	13.628371	0.008193	0.5
83	-0.725052	11.599798	13.210350	0.007819	0.5
84	-0.696420	12.504676	12.853571	0.015389	0.5
85	-0.704643	12.511519	12.850946	0.007694	0.5
86	-0.714416	11.727816	13.158676	0.004827	0.5
87	-0.699586	10.951591	13.478350	0.003443	0.5
88	-0.721754	10.207621	13.799665	0.004541	0.5
89	-0.714223	11.154265	13.393394	0.004993	0.5
90	-0.701025	11.453291	13.269986	0.006744	0.5
91	-0.701032	12.410593	12.889766	0.005272	0.5
92	-0.706464	13.393217	12.521502	0.007867	0.5
93	-0.719467	12.686337	12.784255	0.010958	0.5
94	-0.703614	13.686337	12.415688	0.004423	0.5
95	-0.714767	12.912691	12.698925	0.006482	0.5
96	-0.700782	12.150211	12.991011	0.009744	0.5
97	-0.710972	13.150198	12.610607	0.015932	0.5
98	-0.713558	14.142915	12.254383	0.009565	0.5
99	-0.694552	15.058617	11.943185	0.005278	0.5
100	-0.706479	14.274846	12.208550	0.008198	0.5
101	-0.707185	15.274844	11.871994	0.007162	0.5
102	-0.693580	14.491106	12.134159	0.011502	0.5
103	-0.714481	14.143060	12.254332	0.005372	0.5
104	-0.696036	13.439021	12.504848	0.004129	0.5
105	-0.704763	12.675483	12.788376	0.010924	0.5
106	-0.697399	11.892618	13.092747	0.010129	0.5
107	-0.699570	12.892618	12.706447	0.006019	0.5
108	-0.707854	13.892592	12.342297	0.011652	0.5
109	-0.699958	14.884954	12.000983	0.010972	0.5
110	-0.709788	14.286416	12.204547	0.007881	2.1
111	-0.688555	13.863637	12.352547	0.005676	0.6
112	-0.709219	13.080636	12.636347	0.008499	0.5
113	-0.687112	14.044088	12.288941	0.008351	0.5
114	-0.700886	15.031814	11.952069	0.005805	0.5
115	-0.679550	14.252229	12.216383	0.010432	0.5
116	-0.704163	14.047213	12.287845	0.015412	0.5
117	-0.713785	13.263425	12.568934	0.010847	0.5
118	-0.713807	14.263425	12.212504	0.005466	0.5
119	-0.699236	13.479637	12.490118	0.006423	0.5
120	-0.710226	14.442450	12.150817	0.010492	0.5
121	-0.710206	13.658662	12.425602	0.003462	0.5
122	-0.712667	13.398578	12.519550	0.010629	0.5
123	-0.705850	13.279719	12.562960	0.012447	0.5
124	-0.681754	12.495932	12.856927	0.004723	0.5
125	-0.712131	13.489503	12.486545	0.017000	0.5
126	-0.710008	12.705715	12.776906	0.011639	0.5
127	-0.711655	13.705715	12.408756	0.006117	0.5
128	-0.692445	14.705715	12.061227	0.012834	0.5
129	-0.723584	13.921927	12.331929	0.006462	0.5
130	-0.698920	13.138139	12.615062	0.012009	0.5
131	-0.710262	14.118951	12.262745	0.004278	0.5
132	-0.688557	13.381383	12.525812	0.007407	0.5
133	-0.684613	14.370650	12.175483	0.010553	0.5
134	-0.715325	14.807096	12.027078	0.007658	0.5
135	-0.713515	14.023308	12.296233	0.008981	0.5
136	-0.710927	13.242041	12.576784	0.013043	0.5
137	-0.681078	14.242021	12.219922	0.009527	0.5
138	-0.708168	15.242021	11.882746	0.014277	0.7
139	-0.705356	14.458232	12.145409	0.009327	0.7
140	-0.712782	13.674444	12.419946	0.008651	0.7
141	-0.704012	14.674420	12.071808	0.002816	0.7
142	-0.691318	15.654828	11.748923	0.007976	0.7
143	-0.709743	15.854991	11.685113	0.006552	0.7
144	-0.684161	16.854961	11.376441	0.008021	0.7
145	-0.702994	16.522067	11.477373	0.011582	0.7
146	-0.724322	15.738280	11.722235	0.007003	0.7
147	-0.702891	16.738280	11.411615	0.006602	0.7
148	-0.706679	17.676985	11.134651	0.007624	0.7
149	-0.694877	18.676781	10.854074	0.007220	0.7
150	-0.689054	19.676781	10.587237	0.011110	0.7
