1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.601534	-0.601534	0.000000	0.000000	805.490601	0.004031	0.000000	0.004031	18.5	24.3	38134.0
1	-0.618290	-0.618291	0.000000	0.000000	805.490601	0.004285	0.000000	0.004285	9.6	15.2	26.3
2	-0.613583	-0.613584	0.000000	0.000000	805.490601	0.004183	0.000000	0.004183	11.0	9.5	22.0
3	-0.631946	-0.631946	0.000000	0.000000	805.490601	0.004478	0.000000	0.004478	7.7	9.3	18.9
4	-0.625298	-0.625299	0.000001	0.000000	805.490601	0.004837	0.000001	0.004837	8.0	8.3	17.7
5	-0.604704	-0.604704	0.000001	0.000000	805.490601	0.004935	0.000001	0.004935	8.5	8.7	19.1
6	-0.605011	-0.605011	0.000001	0.000000	805.490601	0.004152	0.000001	0.004152	7.7	11.4	22.7
7	-0.601086	-0.601086	0.000001	0.000000	805.490601	0.004711	0.000001	0.004711	8.0	8.2	18.1
8	-0.593177	-0.593178	0.000002	0.000000	805.490601	0.004952	0.000001	0.004952	9.3	18.0	29.3
9	-0.598096	-0.598096	0.000001	0.000000	805.490601	0.004475	0.000001	0.004475	9.0	9.0	19.4
10	-0.591863	-0.591863	0.000002	0.000000	805.490601	0.004101	0.000001	0.004101	8.0	8.7	18.3
11	-0.642761	-0.642762	0.000002	0.992004	769.156946	0.005176	0.000001	0.005176	17.7	8.9	31.4
12	-0.623527	-0.623528	0.000002	0.021321	804.673630	0.004969	0.000001	0.004969	9.3	17.7	28.3
13	-0.605263	-0.605264	0.000002	0.000000	805.490601	0.003682	0.000001	0.003682	11.8	8.1	23.4
14	-0.607957	-0.607958	0.000002	0.712626	779.053762	0.004951	0.000001	0.004951	8.2	8.8	19.2
15	-0.607493	-0.607494	0.000003	1.712625	744.753302	0.004829	0.000001	0.004829	20.4	10.2	32.8
16	-0.590220	-0.590220	0.000002	0.741942	778.003295	0.004606	0.000001	0.004606	17.2	9.5	32.0
17	-0.617705	-0.617706	0.000003	1.739317	743.879104	0.005716	0.000001	0.005716	8.2	8.5	18.5
18	-0.576527	-0.576528	0.000003	2.626720	715.939534	0.003218	0.000001	0.003217	10.3	9.4	21.6
19	-0.601713	-0.601714	0.000004	1.656037	746.613495	0.006007	0.000001	0.006007	13.3	19.5	38.0
20	-0.613407	-0.613408	0.000003	0.685353	780.033521	0.003838	0.000001	0.003838	9.3	9.1	20.4
21	-0.609508	-0.609509	0.000004	0.015954	804.879139	0.004189	0.000001	0.004189	8.0	10.3	20.1
22	-0.635249	-0.635250	0.000004	0.000000	805.490601	0.003524	0.000001	0.003524	15.9	10.8	29.0
23	-0.627687	-0.627689	0.000004	0.000000	805.490601	0.004855	0.000001	0.004855	21.2	11.6	34.6
24	-0.599395	-0.599396	0.000004	0.000000	805.490601	0.004662	0.000001	0.004662	8.7	8.6	19.0
25	-0.607625	-0.607627	0.000004	0.000000	805.490601	0.003941	0.000001	0.003941	36.8	11.6	50.3
26	-0.606259	-0.606260	0.000004	0.000000	805.490601	0.004002	0.000001	0.004002	8.7	7.9	18.2
27	-0.630117	-0.630118	0.000005	0.000000	805.490601	0.004301	0.000001	0.004301	7.9	9.7	19.6
28	-0.598508	-0.598509	0.000005	0.000000	805.490601	0.004731	0.000001	0.004731	9.5	24.5	36.1
29	-0.602329	-0.602331	0.000005	0.000000	805.490601	0.004827	0.000001	0.004827	43.5	17.6	63.1
30	-0.603799	-0.603800	0.000005	0.000000	805.490601	0.005609	0.000001	0.005609	7.9	7.9	17.4
31	-0.592142	-0.592143	0.000005	0.000000	805.490601	0.004073	0.000001	0.004073	8.6	8.7	18.7
32	-0.595334	-0.595335	0.000006	0.000000	805.490601	0.004337	0.000001	0.004337	8.0	8.1	17.8
33	-0.615536	-0.615538	0.000006	0.030036	804.340181	0.004984	0.000002	0.004984	8.7	8.2	18.5
34	-0.620339	-0.620340	0.000006	0.000000	805.490601	0.003815	0.000001	0.003815	7.9	8.9	18.7
35	-0.600164	-0.600166	0.000005	0.000000	805.490601	0.004450	0.000001	0.004450	8.1	8.2	17.8
36	-0.599504	-0.599506	0.000007	0.000000	805.490601	0.005162	0.000002	0.005162	8.2	9.2	19.2
37	-0.591625	-0.591628	0.000007	0.000000	805.490601	0.003907	0.000002	0.003907	7.8	8.7	18.4
38	-0.617869	-0.617871	0.000007	0.000000	805.490601	0.004736	0.000002	0.004736	15.2	18.9	36.0
39	-0.625270	-0.625273	0.000007	0.000000	805.490601	0.004346	0.000002	0.004346	15.7	7.7	25.2
40	-0.608931	-0.608933	0.000007	0.000000	805.490601	0.005682	0.000002	0.005682	9.0	9.7	20.2
41	-0.622914	-0.622916	0.000007	0.000000	805.490601	0.004294	0.000002	0.004294	7.6	7.8	16.8
42	-0.606903	-0.606906	0.000008	0.000000	805.490601	0.004345	0.000002	0.004345	10.5	12.7	24.6
43	-0.601380	-0.601382	0.000008	0.000000	805.490601	0.004590	0.000002	0.004590	22.6	10.7	34.8
